Planet Id,Region Id,Constellation Id,System Id,Planet Name,Planet Type Id
40000002,10000001,20000001,30000001,Tanoo I,1
40000005,10000001,20000001,30000001,Tanoo II,1
40000007,10000001,20000001,30000001,Tanoo III,2
40000008,10000001,20000001,30000001,Tanoo IV,3
40000011,10000001,20000001,30000001,Tanoo V,4
40000017,10000001,20000001,30000001,Tanoo VI,3
40000020,10000001,20000001,30000002,Lashesih I,2
40000022,10000001,20000001,30000002,Lashesih II,2
40000024,10000001,20000001,30000002,Lashesih III,5
40000028,10000001,20000001,30000002,Lashesih IV,1
40000031,10000001,20000001,30000002,Lashesih V,1
40000033,10000001,20000001,30000002,Lashesih VI,1
40000037,10000001,20000001,30000002,Lashesih VII,1
40000041,10000001,20000001,30000003,Akpivem I,2
40000043,10000001,20000001,30000003,Akpivem II,3
40000046,10000001,20000001,30000003,Akpivem III,4
40000055,10000001,20000001,30000003,Akpivem IV,4
40000074,10000001,20000001,30000003,Akpivem V,4
40000100,10000001,20000001,30000003,Akpivem VI,4
40000123,10000001,20000001,30000003,Akpivem VII,6
40000130,10000001,20000001,30000004,Jark I,7
40000132,10000001,20000001,30000004,Jark II,1
40000134,10000001,20000001,30000004,Jark III,7
40000137,10000001,20000001,30000004,Jark IV,1
40000139,10000001,20000001,30000004,Jark V,4
40000164,10000001,20000001,30000004,Jark VI,4
40000185,10000001,20000001,30000004,Jark VII,4
40000191,10000001,20000001,30000005,Sasta I,2
40000193,10000001,20000001,30000005,Sasta II,5
40000194,10000001,20000001,30000005,Sasta III,4
40000196,10000001,20000001,30000005,Sasta IV,4
40000200,10000001,20000001,30000005,Sasta V,4
40000215,10000001,20000001,30000005,Sasta VI,4
40000236,10000001,20000001,30000005,Sasta VII,4
40000256,10000001,20000001,30000005,Sasta VIII,4
40000282,10000001,20000001,30000005,Sasta IX,6
40000292,10000001,20000001,30000006,Zaid I,5
40000293,10000001,20000001,30000006,Zaid II,2
40000294,10000001,20000001,30000006,Zaid III,2
40000297,10000001,20000001,30000006,Zaid IV,2
40000298,10000001,20000001,30000006,Zaid V,7
40000300,10000001,20000001,30000006,Zaid VI,3
40000304,10000001,20000001,30000006,Zaid VII,4
40000323,10000001,20000001,30000006,Zaid VIII,2
40000326,10000001,20000001,30000006,Zaid IX,4
40000333,10000001,20000001,30000007,Yuzier I,2
40000335,10000001,20000001,30000007,Yuzier II,1
40000337,10000001,20000001,30000007,Yuzier III,1
40000339,10000001,20000001,30000007,Yuzier IV,5
40000341,10000001,20000001,30000007,Yuzier V,4
40000348,10000001,20000001,30000007,Yuzier VI,7
40000352,10000001,20000001,30000007,Yuzier VII,2
40000355,10000001,20000001,30000007,Yuzier VIII,4
40000382,10000001,20000001,30000008,Nirbhi I,2
40000384,10000001,20000001,30000008,Nirbhi II,2
40000386,10000001,20000001,30000008,Nirbhi III,1
40000389,10000001,20000001,30000008,Nirbhi IV,1
40000391,10000001,20000001,30000008,Nirbhi V,4
40000398,10000001,20000001,30000008,Nirbhi VI,4
40000417,10000001,20000001,30000008,Nirbhi VII,4
40000441,10000001,20000001,30000008,Nirbhi VIII,4
40000462,10000001,20000001,30000008,Nirbhi IX,6
40000468,10000001,20000001,30000008,Nirbhi X,6
40000472,10000001,20000002,30000009,Sooma I,2
40000473,10000001,20000002,30000009,Sooma II,2
40000474,10000001,20000002,30000009,Sooma III,1
40000476,10000001,20000002,30000009,Sooma IV,1
40000478,10000001,20000002,30000009,Sooma V,1
