fromRegionID,toRegionID
10000001,10000011
10000001,10000012
10000001,10000028
10000001,10000030
10000001,10000036
10000001,10000047
10000002,10000003
10000002,10000016
10000002,10000027
10000002,10000029
10000002,10000032
10000002,10000033
10000002,10000042
10000003,10000002
10000003,10000010
10000003,10000029
10000003,10000034
10000005,10000006
10000005,10000009
10000005,10000025
10000005,10000061
10000006,10000005
10000006,10000008
10000006,10000009
10000007,10000009
10000007,10000011
10000007,10000018
10000007,10000021
10000008,10000006
10000008,10000009
10000008,10000011
10000008,10000012
10000009,10000005
10000009,10000006
10000009,10000007
10000009,10000008
10000009,10000018
10000009,10000027
10000010,10000003
10000010,10000015
10000010,10000016
10000010,10000023
10000011,10000001
10000011,10000007
10000011,10000008
10000011,10000012
10000011,10000027
10000011,10000028
10000011,10000029
10000011,10000042
10000012,10000001
10000012,10000008
10000012,10000011
10000012,10000014
10000013,10000018
10000013,10000027
10000013,10000034
10000013,10000040
10000013,10000066
10000014,10000012
10000014,10000022
10000014,10000025
10000014,10000031
10000014,10000047
10000014,10000049
10000014,10000050
10000014,10000061
10000015,10000010
10000015,10000035
10000015,10000045
10000015,10000055
10000015,10000066
10000016,10000002
10000016,10000010
10000016,10000023
10000016,10000033
10000016,10000069
10000017,10000019
10000018,10000007
10000018,10000009
10000018,10000013
10000018,10000021
10000018,10000027
10000018,10000040
10000018,10000066
10000019,10000017
10000020,10000043
10000020,10000047
10000020,10000049
10000020,10000052
10000021,10000007
10000021,10000018
10000021,10000053
10000021,10000066
10000022,10000014
10000022,10000039
10000022,10000063
10000023,10000010
10000023,10000016
10000023,10000046
10000023,10000048
10000023,10000051
10000025,10000005
10000025,10000014
10000025,10000061
10000027,10000002
10000027,10000009
10000027,10000011
10000027,10000013
10000027,10000018
10000027,10000028
10000027,10000034
10000027,10000066
10000028,10000001
10000028,10000011
10000028,10000027
10000028,10000030
10000028,10000042
10000029,10000002
10000029,10000003
10000029,10000011
10000029,10000034
10000029,10000042
10000030,10000001
10000030,10000028
10000030,10000032
10000030,10000036
10000030,10000038
10000030,10000042
10000031,10000014
10000031,10000056
10000031,10000061
10000032,10000002
10000032,10000030
10000032,10000033
10000032,10000037
10000032,10000038
10000032,10000042
10000032,10000043
10000032,10000064
10000032,10000067
10000033,10000002
10000033,10000016
10000033,10000032
10000033,10000043
10000033,10000064
10000033,10000068
10000033,10000069
10000034,10000003
10000034,10000013
10000034,10000027
10000034,10000029
10000035,10000015
10000035,10000046
10000035,10000055
10000036,10000001
10000036,10000030
10000036,10000038
10000036,10000043
10000036,10000047
10000037,10000032
10000037,10000064
10000037,10000067
10000038,10000030
10000038,10000032
10000038,10000036
10000038,10000042
10000038,10000043
10000039,10000022
10000039,10000056
10000039,10000059
10000040,10000013
10000040,10000018
10000040,10000053
10000040,10000066
10000041,10000044
10000041,10000048
10000041,10000051
10000041,10000057
10000041,10000068
10000042,10000002
10000042,10000011
10000042,10000028
10000042,10000029
10000042,10000030
10000042,10000032
10000042,10000038
10000043,10000020
10000043,10000032
10000043,10000033
10000043,10000036
10000043,10000038
10000043,10000047
10000043,10000052
10000043,10000065
10000044,10000041
10000044,10000054
10000045,10000015
10000045,10000053
10000045,10000055
10000046,10000023
10000046,10000035
10000046,10000051
10000047,10000001
10000047,10000014
10000047,10000020
10000047,10000036
10000047,10000043
10000048,10000023
10000048,10000041
10000048,10000051
10000048,10000064
10000048,10000068
10000048,10000069
10000049,10000014
10000049,10000020
10000049,10000050
10000049,10000054
10000049,10000065
10000050,10000014
10000050,10000049
10000050,10000060
10000051,10000023
10000051,10000041
10000051,10000046
10000051,10000048
10000051,10000057
10000051,10000058
10000051,10000069
10000052,10000020
10000052,10000043
10000052,10000065
10000052,10000067
10000053,10000021
10000053,10000040
10000053,10000045
10000054,10000044
10000054,10000049
10000054,10000058
10000054,10000060
10000054,10000065
10000054,10000067
10000055,10000015
10000055,10000035
10000055,10000045
10000056,10000031
10000056,10000039
10000056,10000061
10000056,10000062
10000057,10000041
10000057,10000051
10000057,10000058
10000058,10000051
10000058,10000054
10000058,10000057
10000058,10000060
10000059,10000039
10000059,10000063
10000060,10000050
10000060,10000054
10000060,10000058
10000060,10000063
10000061,10000005
10000061,10000014
10000061,10000025
10000061,10000031
10000061,10000056
10000061,10000062
10000062,10000056
10000062,10000061
10000063,10000022
10000063,10000059
10000063,10000060
10000064,10000032
10000064,10000033
10000064,10000037
10000064,10000048
10000064,10000067
10000064,10000068
10000064,10000069
10000068,10000033
10000068,10000041
10000068,10000048
10000068,10000064
10000068,10000067
10000069,10000016
10000069,10000033
10000069,10000048
10000069,10000051
10000069,10000064
10000065,10000043
10000065,10000049
10000065,10000052
10000065,10000054
10000065,10000067
10000066,10000013
10000066,10000015
10000066,10000018
10000066,10000021
10000066,10000027
10000066,10000040
10000067,10000032
10000067,10000037
10000067,10000052
10000067,10000054
10000067,10000064
10000067,10000065
10000067,10000068
